name,class,label
Case-3-A12-8900-9585,Non-Viable-Tumor,2
Case-3-A13-11064-6880,Non-Viable-Tumor,2
Case-3-A13-12886-26466,Non-Viable-Tumor,2
Case-3-A13-14922-4693,Non-Viable-Tumor,2
Case-3-A13-18067-22685,Non-Tumor,0
Case-3-A13-18373-28000,Non-Tumor,0
Case-3-A13-20812-5829,Non-Viable-Tumor,2
Case-3-A13-23909-10851,Non-Viable-Tumor,2
Case-3-A13-25714-32133,Non-Tumor,0
Case-3-A13-25994-9457,Non-Viable-Tumor,2
Case-3-A13-26025-19725,Non-Viable-Tumor,2
Case-3-A13-26388-12521,Non-Viable-Tumor,2
Case-3-A13-29731-5963,Non-Viable-Tumor,2
Case-3-A13-30465-16520,Non-Viable-Tumor,2
Case-3-A13-30624-3328,Non-Viable-Tumor,2
Case-3-A13-32860-19573,Non-Viable-Tumor,2
Case-3-A13-33512-19541,Non-Viable-Tumor,2
Case-3-A13-35123-3915,Non-Viable-Tumor,2
Case-3-A13-3967-28506,Non-Tumor,0
Case-3-A13-40883-4236,Non-Viable-Tumor,2
Case-3-A13-41207-24818,Non-Viable-Tumor,2
Case-3-A13-5020-19174,Non-Tumor,0
Case-3-A13-6266-11957,Non-Tumor,0
Case-3-A13-6749-8498,Non-Tumor,0
Case-3-A13-8917-22529,Non-Tumor,0
Case-3-A13-9953-21807,Non-Tumor,0
Case-3-A14-10618-25632,Non-Tumor,0
Case-3-A14-1106-28928,Non-Tumor,0
Case-3-A14-12561-9880,Non-Viable-Tumor,2
Case-3-A14-16152-29957,Non-Tumor,0
Case-3-A14-16417-3901,Non-Viable-Tumor,2
Case-3-A14-17915-18084,Non-Viable-Tumor,2
Case-3-A14-18021-13552,Non-Viable-Tumor,2
Case-3-A14-18644-6337,Non-Viable-Tumor,2
Case-3-A14-20876-5533,Non-Viable-Tumor,2
Case-3-A14-25077-2887,Non-Viable-Tumor,2
Case-3-A14-25376-17951,Non-Viable-Tumor,2
Case-3-A14-26126-3286,Non-Viable-Tumor,2
Case-3-A14-27770-6278,Non-Viable-Tumor,2
Case-3-A14-2833-14298,Non-Tumor,0
Case-3-A14-31044-35995,Non-Tumor,0
Case-3-A14-32589-6663,Non-Viable-Tumor,2
Case-3-A14-34515-24089,Non-Viable-Tumor,2
Case-3-A14-34677-35228,Non-Tumor,0
Case-3-A14-35691-34445,Non-Tumor,0
Case-3-A14-37149-17859,Viable,1
Case-3-A14-39214-1868,Non-Viable-Tumor,2
Case-3-A14-39989-31599,Non-Tumor,0
Case-3-A14-40672-19680,Non-Viable-Tumor,2
Case-3-A14-43856-28803,Non-Tumor,0
Case-3-A14-44682-31013,Non-Tumor,0
Case-3-A14-4535-11753,Non-Viable-Tumor,2
Case-3-A14-7460-21553,Non-Tumor,0
Case-3-A15-10555-31474,Non-Tumor,0
Case-3-A15-11584-17031,Non-Tumor,0
Case-3-A15-12529-2824,Non-Viable-Tumor,2
Case-3-A15-13769-20416,Non-Tumor,0
Case-3-A15-16783-7651,Non-Viable-Tumor,2
Case-3-A15-17017-30243,Non-Tumor,0
Case-3-A15-18345-32676,Non-Tumor,0
Case-3-A15-19473-25342,Non-Tumor,0
Case-3-A15-19602-20751,Non-Viable-Tumor,2
Case-3-A15-25441-4885,Non-Viable-Tumor,2
Case-3-A15-2767-11665,Non-Tumor,0
Case-3-A15-27719-34322,Non-Tumor,0
Case-3-A15-28616-30170,Non-Tumor,0
Case-3-A15-2939-11262,Non-Tumor,0
Case-3-A15-29596-14862,Non-Viable-Tumor,2
Case-3-A15-31956-20390,Non-Viable-Tumor,2
Case-3-A15-32427-21534,Non-Viable-Tumor,2
Case-3-A15-32664-16876,Non-Viable-Tumor,2
Case-3-A15-34291-15707,Non-Viable-Tumor,2
Case-3-A15-34793-16511,Non-Viable-Tumor,2
Case-3-A15-37036-30140,Non-Tumor,0
Case-3-A15-3785-32371,Non-Tumor,0
Case-3-A15-38074-15813,Viable,1
Case-3-A15-38347-25444,Non-Viable-Tumor,2
Case-3-A15-41229-4171,Non-Viable-Tumor,2
Case-3-A15-4922-2530,Non-Viable-Tumor,2
Case-3-A15-5365-37554,Non-Tumor,0
Case-3-A15-6063-36714,Non-Tumor,0
Case-3-A15-6568-18811,Non-Tumor,0
Case-3-A16-12207-22669,Non-Tumor,0
Case-3-A16-12753-7173,Non-Viable-Tumor,2
Case-3-A16-12872-19040,Non-Tumor,0
Case-3-A16-15703-4602,Non-Viable-Tumor,2
Case-3-A16-16526-13063,Non-Viable-Tumor,2
Case-3-A16-17478-7786,Non-Viable-Tumor,2
Case-3-A16-18494-17234,Non-Viable-Tumor,2
Case-3-A16-18579-5543,Non-Viable-Tumor,2
Case-3-A16-20932-16777,Non-Viable-Tumor,2
Case-3-A16-21084-22389,Non-Viable-Tumor,2
Case-3-A16-21555-14170,Non-Viable-Tumor,2
Case-3-A16-22513-3757,Non-Viable-Tumor,2
Case-3-A16-23455-14529,Non-Viable-Tumor,2
Case-3-A16-23679-14549,Non-Viable-Tumor,2
Case-3-A16-24669-5556,Non-Viable-Tumor,2
Case-3-A16-25344-6555,Non-Viable-Tumor,2
Case-3-A16-29058-10941,Non-Viable-Tumor,2
Case-3-A16-30229-10876,Non-Viable-Tumor,2
Case-3-A16-31398-22850,Non-Viable-Tumor,2
Case-3-A16-32696-21122,Non-Viable-Tumor,2
Case-3-A16-35442-28193,Non-Viable-Tumor,2
Case-3-A16-35584-14421,Non-Viable-Tumor,2
Case-3-A16-35991-7626,Non-Viable-Tumor,2
Case-3-A16-36233-10925,Non-Viable-Tumor,2
Case-3-A16-3833-2415,Non-Viable-Tumor,2
Case-3-A16-40231-27051,Non-Viable-Tumor,2
Case-3-A16-5621-4126,Non-Viable-Tumor,2
Case-3-A16-6244-27384,Non-Viable-Tumor,2
Case-3-A16-6841-16910,Non-Tumor,0
Case-3-A16-7295-31391,Non-Tumor,0
Case-3-A16-9134-12603,Non-Tumor,0
Case-3-A17-12112-17050,Non-Viable-Tumor,2
Case-3-A17-12247-30984,Non-Tumor,0
Case-3-A17-12545-27848,Non-Tumor,0
Case-3-A17-13333-19421,Non-Tumor,0
Case-3-A17-14482-34987,Non-Tumor,0
Case-3-A17-15765-20926,Non-Tumor,0
Case-3-A17-16570-4475,Non-Viable-Tumor,2
Case-3-A17-18662-24877,Non-Tumor,0
Case-3-A17-18676-13247,Non-Viable-Tumor,2
Case-3-A17-2310-19149,Non-Tumor,0
Case-3-A17-25048-1930,Non-Viable-Tumor,2
Case-3-A17-26576-11618,Non-Viable-Tumor,2
Case-3-A17-27172-22922,Non-Viable-Tumor,2
Case-3-A17-27836-33168,Non-Tumor,0
Case-3-A17-29372-19206,Non-Viable-Tumor,2
Case-3-A17-2937-33559,Non-Tumor,0
Case-3-A17-32230-20244,Non-Viable-Tumor,2
Case-3-A17-38169-7823,Non-Viable-Tumor,2
Case-3-A17-38558-18797,Non-Viable-Tumor,2
Case-3-A17-39258-10719,Non-Viable-Tumor,2
Case-3-A17-39482-17002,Non-Viable-Tumor,2
Case-3-A17-4064-3304,Non-Viable-Tumor,2
Case-3-A17-42739-1928,Non-Viable-Tumor,2
Case-3-A17-44121-29500,Non-Tumor,0
Case-3-A17-45279-32496,Non-Tumor,0
Case-3-A17-5652-20182,Non-Tumor,0
Case-3-A17-6827-25257,Non-Viable-Tumor,2
Case-3-A17-7799-34542,Non-Tumor,0
Case-3-A17-8146-19462,Non-Tumor,0
Case-3-A18-10642-28016,Non-Tumor,0
Case-3-A18-11012-16647,Non-Tumor,0
Case-3-A18-11113-4790,Non-Viable-Tumor,2
Case-3-A18-13866-37377,Non-Tumor,0
Case-3-A18-14183-14592,Non-Viable-Tumor,2
Case-3-A18-16291-27049,Non-Viable-Tumor,2
Case-3-A18-19765-24396,Non-Tumor,0
Case-3-A18-19927-30678,Non-Tumor,0
Case-3-A18-21774-29686,Non-Viable-Tumor,2
Case-3-A18-22725-7679,Non-Viable-Tumor,2
Case-3-A18-26671-8353,Non-Viable-Tumor,2
Case-3-A18-28050-10869,Non-Viable-Tumor,2
Case-3-A18-29907-24273,Non-Viable-Tumor,2
Case-3-A18-30239-1991,Non-Viable-Tumor,2
Case-3-A18-37523-16456,Non-Viable-Tumor,2
Case-3-A18-37940-12063,Non-Viable-Tumor,2
Case-3-A18-3816-24060,Non-Tumor,0
Case-3-A18-39897-25655,Non-Viable-Tumor,2
Case-3-A18-41302-32324,Non-Tumor,0
Case-3-A18-41611-21066,Non-Viable-Tumor,2
Case-3-A18-41817-26873,Non-Viable-Tumor,2
Case-3-A18-42378-16271,Non-Viable-Tumor,2
Case-3-A18-6464-3819,Non-Viable-Tumor,2
Case-3-A18-6551-37204,Non-Tumor,0
Case-3-A18-9303-23566,Non-Tumor,0
Case-3-A18-9485-39729,Non-Tumor,0
Case-3-A18-9709-20966,Non-Tumor,0
Case-3-A18-9712-32113,Non-Tumor,0
Case-3-A7-10464-40567,Non-Tumor,0
Case-3-A7-11686-7821,Non-Viable-Tumor,2
Case-3-A7-12689-31503,Non-Tumor,0
Case-3-A7-12921-34202,Non-Tumor,0
Case-3-A7-13231-25695,Non-Viable-Tumor,2
Case-3-A7-13363-2996,Non-Viable-Tumor,2
Case-3-A7-13460-33035,Non-Tumor,0
Case-3-A7-14113-31320,Non-Tumor,0
Case-3-A7-14703-16558,Non-Viable-Tumor,2
Case-3-A7-16948-19208,Non-Tumor,0
Case-3-A7-18669-5101,Non-Viable-Tumor,2
Case-3-A7-19592-19096,Non-Viable-Tumor,2
Case-3-A7-22533-27072,Non-Viable-Tumor,2
Case-3-A7-25131-12730,Non-Viable-Tumor,2
Case-3-A7-25309-2061,Non-Viable-Tumor,2
Case-3-A7-27102-7995,Non-Viable-Tumor,2
Case-3-A7-29290-29183,Non-Tumor,0
Case-3-A7-29420-19979,Non-Viable-Tumor,2
Case-3-A7-31694-7282,Non-Viable-Tumor,2
Case-3-A7-31801-6579,Non-Viable-Tumor,2
Case-3-A7-32878-13552,Non-Viable-Tumor,2
Case-3-A7-34476-34669,Non-Tumor,0
Case-3-A7-35188-7457,Non-Viable-Tumor,2
Case-3-A7-36617-26705,Non-Viable-Tumor,2
Case-3-A7-36958-32140,Non-Tumor,0
Case-3-A7-3774-28397,Non-Tumor,0
Case-3-A7-39090-2995,Non-Viable-Tumor,2
Case-3-A7-40281-28771,Non-Tumor,0
Case-3-A7-5014-31757,Non-Tumor,0
Case-3-A7-7717-26653,Non-Viable-Tumor,2
Case-3-A7-8126-12734,Non-Tumor,0
Case-3-A8-10396-34864,Non-Tumor,0
Case-3-A8-11491-21160,Non-Tumor,0
Case-3-A8-14916-20753,Non-Tumor,0
Case-3-A8-17308-25507,Non-Tumor,0
Case-3-A8-17525-23399,Non-Tumor,0
Case-3-A8-17777-30759,Non-Tumor,0
Case-3-A8-19213-13280,Non-Viable-Tumor,2
Case-3-A8-20541-20421,Non-Viable-Tumor,2
Case-3-A8-20812-18023,Non-Viable-Tumor,2
Case-3-A8-21347-28454,Non-Tumor,0
Case-3-A8-23069-11985,Non-Viable-Tumor,2
Case-3-A8-25825-20639,Non-Viable-Tumor,2
Case-3-A8-27422-14386,Non-Viable-Tumor,2
Case-3-A8-28656-29882,Non-Tumor,0
Case-3-A8-34597-15691,Non-Viable-Tumor,2
Case-3-A8-35052-27260,Non-Viable-Tumor,2
Case-3-A8-3678-6946,Non-Viable-Tumor,2
Case-3-A8-38100-23063,Non-Viable-Tumor,2
Case-3-A8-38575-19060,Non-Viable-Tumor,2
Case-3-A8-38576-12372,Non-Viable-Tumor,2
Case-3-A8-40090-34133,Non-Tumor,0
Case-3-A8-40327-2954,Non-Viable-Tumor,2
Case-3-A8-42144-11358,Non-Viable-Tumor,2
Case-3-A8-42275-18820,Non-Viable-Tumor,2
Case-3-A8-6596-2373,Non-Viable-Tumor,2
Case-3-A8-8347-14021,Non-Tumor,0
Case-3-A8-8708-9689,Non-Viable-Tumor,2
Case-3-A8-9677-9114,Non-Viable-Tumor,2
Case-4-C21-11229-17093,Non-Viable-Tumor,2
Case-4-C21-13339-24727,Non-Viable-Tumor,2
Case-4-C21-14246-18799,Non-Viable-Tumor,2
Case-4-C21-17996-22366,Non-Viable-Tumor,2
Case-4-C21-20675-9095,Viable,1
Case-4-C21-22035-24818,Non-Viable-Tumor,2
Case-4-C21-22607-7946,Viable,1
Case-4-C21-23743-36254,Non-Viable-Tumor,2
Case-4-C21-25306-21689,Viable,1
Case-4-C21-25396-25798,Non-Viable-Tumor,2
Case-4-C21-26326-8633,Viable,1
Case-4-C21-27726-37043,Non-Viable-Tumor,2
Case-4-C21-28314-22979,Viable,1
Case-4-C21-29101-18901,Viable,1
Case-4-C21-29849-33988,Non-Viable-Tumor,2
Case-4-C21-30599-31986,Non-Viable-Tumor,2
Case-4-C21-34438-19627,Viable,1
Case-4-C21-34899-31136,Non-Viable-Tumor,2
Case-4-C21-35538-25356,Viable,1
Case-4-C21-37411-12734,Viable,1
Case-4-C21-38458-18002,Viable,1
Case-4-C21-39931-19569,Viable,1
Case-4-C21-40652-23162,Viable,1
Case-4-C21-42043-16377,Viable,1
Case-4-C21-43834-23094,Non-Tumor,0
Case-4-C21-44291-25760,Non-Tumor,0
Case-4-C21-45309-20604,Non-Tumor,0
Case-4-C22-12113-23584,Non-Viable-Tumor,2
Case-4-C22-13293-17406,Non-Viable-Tumor,2
Case-4-C22-14193-24204,Non-Viable-Tumor,2
Case-4-C22-14852-25038,Non-Viable-Tumor,2
Case-4-C22-18690-17829,Viable,1
Case-4-C22-19399-25392,Non-Viable-Tumor,2
Case-4-C22-19841-14408,Viable,1
Case-4-C22-20288-31102,Viable,1
Case-4-C22-20420-19004,Viable,1
Case-4-C22-21902-8062,Viable,1
Case-4-C22-22350-18241,Viable,1
Case-4-C22-25017-13207,Viable,1
Case-4-C22-25541-21407,Viable,1
Case-4-C22-25642-6919,Viable,1
Case-4-C22-26476-28003,Non-Tumor,0
Case-4-C22-29668-36352,Non-Tumor,0
Case-4-C22-29696-31650,Non-Tumor,0
Case-4-C22-30748-20982,Viable,1
Case-4-C22-36438-11846,Viable,1
Case-4-C22-38307-25291,Viable,1
Case-4-C22-39386-26786,Viable,1
Case-4-C22-39913-22780,Viable,1
Case-4-C22-42649-20389,Non-Tumor,0
Case-4-C22-43141-24748,Non-Viable-Tumor,2
Case-4-C22-43370-22832,Non-Tumor,0
Case-4-C22-44617-22886,Non-Tumor,0
Case-4-C22-45017-21723,Non-Tumor,0
Case-4-C24-13844-15938,Non-Viable-Tumor,2
Case-4-C24-16355-22492,Non-Viable-Tumor,2
Case-4-C24-20641-21743,Non-Viable-Tumor,2
Case-4-C24-21495-20987,Viable,1
Case-4-C24-21905-23241,Non-Viable-Tumor,2
Case-4-C24-22210-6774,Non-Tumor,0
Case-4-C24-23753-20581,Viable,1
Case-4-C24-25985-25656,Non-Viable-Tumor,2
Case-4-C24-26202-34731,Non-Viable-Tumor,2
Case-4-C24-26502-13028,Viable,1
Case-4-C24-27750-16066,Viable,1
Case-4-C24-28082-3132,Non-Viable-Tumor,2
Case-4-C24-28865-8586,Viable,1
Case-4-C24-30007-11532,Viable,1
Case-4-C24-30709-15038,Viable,1
Case-4-C24-30822-32457,Non-Viable-Tumor,2
Case-4-C24-31203-32244,Non-Viable-Tumor,2
Case-4-C24-31951-18510,Viable,1
Case-4-C24-32113-11600,Viable,1
Case-4-C24-32721-26127,Non-Viable-Tumor,2
Case-4-C24-36024-13005,Viable,1
Case-4-C24-36061-11151,Viable,1
Case-4-C24-37205-16940,Viable,1
Case-4-C24-37783-13734,Viable,1
Case-4-C24-37864-31739,Non-Viable-Tumor,2
Case-4-C24-38186-21797,Viable,1
Case-4-C24-41653-14996,Non-Tumor,0
Case-4-C27-11262-18851,Non-Viable-Tumor,2
Case-4-C27-12292-22142,Non-Viable-Tumor,2
Case-4-C27-12979-14786,Non-Viable-Tumor,2
Case-4-C27-16245-18671,Non-Viable-Tumor,2
Case-4-C27-16512-14137,Viable,1
Case-4-C27-18794-30075,Non-Viable-Tumor,2
Case-4-C27-23395-17702,Viable,1
Case-4-C27-25232-22735,Viable,1
Case-4-C27-26950-6071,Viable,1
Case-4-C27-26960-35733,Viable,1
Case-4-C27-27433-14234,Viable,1
Case-4-C27-27896-8735,Non-Viable-Tumor,2
Case-4-C27-28136-19724,Viable,1
Case-4-C27-28549-7066,Viable,1
Case-4-C27-29294-5191,Non-Tumor,0
Case-4-C27-29439-7838,Viable,1
Case-4-C27-30307-29497,Non-Viable-Tumor,2
Case-4-C27-32061-22260,Viable,1
Case-4-C27-32431-19828,Viable,1
Case-4-C27-33498-10849,Viable,1
Case-4-C27-34169-23534,Viable,1
Case-4-C27-36865-22443,Viable,1
Case-4-C27-37395-26388,Viable,1
Case-4-C27-37440-28310,Viable,1
Case-4-C27-37658-29791,Non-Viable-Tumor,2
Case-4-C27-40436-21740,Non-Viable-Tumor,2
Case-4-C27-42354-19379,Viable,1
Case-4-C27-45200-21938,Non-Tumor,0
Case-4-C27-45262-20988,Non-Tumor,0
Case-4-C28-10217-20283,Non-Viable-Tumor,2
Case-4-C28-13005-20274,Non-Viable-Tumor,2
Case-4-C28-17086-17351,Viable,1
Case-4-C28-17394-10525,Viable,1
Case-4-C28-17483-12238,Viable,1
Case-4-C28-19739-14492,Viable,1
Case-4-C28-22588-34168,Non-Viable-Tumor,2
Case-4-C28-25473-14283,Viable,1
Case-4-C28-26851-15411,Viable,1
Case-4-C28-27016-13463,Viable,1
Case-4-C28-27602-26398,Non-Viable-Tumor,2
Case-4-C28-28569-15469,Viable,1
Case-4-C28-30588-18732,Viable,1
Case-4-C28-30914-19280,Viable,1
Case-4-C28-31042-23166,Non-Tumor,0
Case-4-C28-33944-22211,Non-Tumor,0
Case-4-C28-34272-29721,Non-Viable-Tumor,2
Case-4-C28-35755-28991,Non-Viable-Tumor,2
Case-4-C28-36010-11166,Viable,1
Case-4-C28-36370-18227,Viable,1
Case-4-C28-39382-19351,Viable,1
Case-4-C28-39674-17239,Viable,1
Case-4-C28-39877-24842,Viable,1
Case-4-C28-41530-23152,Viable,1
Case-4-C28-41935-19673,Viable,1
Case-4-C28-42525-25070,Non-Viable-Tumor,2
Case-4-C28-42724-16956,Non-Tumor,0
Case-4-C29-13332-20182,Non-Viable-Tumor,2
Case-4-C29-14846-11791,Viable,1
Case-4-C29-15182-28434,Non-Viable-Tumor,2
Case-4-C29-15569-11401,Viable,1
Case-4-C29-15887-24394,Non-Viable-Tumor,2
Case-4-C29-16530-30634,Non-Viable-Tumor,2
Case-4-C29-16874-21863,Non-Viable-Tumor,2
Case-4-C29-17972-31834,Non-Viable-Tumor,2
Case-4-C29-18029-22098,Non-Viable-Tumor,2
Case-4-C29-20994-22152,Viable,1
Case-4-C29-22107-10482,Viable,1
Case-4-C29-22504-33746,Non-Viable-Tumor,2
Case-4-C29-23938-15097,Viable,1
Case-4-C29-24903-19562,Viable,1
Case-4-C29-26385-28225,Non-Viable-Tumor,2
Case-4-C29-26451-27935,Non-Viable-Tumor,2
Case-4-C29-26629-4434,Non-Viable-Tumor,2
Case-4-C29-27987-31224,Non-Viable-Tumor,2
Case-4-C29-29639-16570,Viable,1
Case-4-C29-30319-13766,Viable,1
Case-4-C29-30502-34418,Non-Viable-Tumor,2
Case-4-C29-31054-35813,Non-Viable-Tumor,2
Case-4-C29-31369-33022,Non-Viable-Tumor,2
Case-4-C29-31670-19505,Viable,1
Case-4-C29-33826-27241,Non-Viable-Tumor,2
Case-4-C29-35879-13825,Viable,1
Case-4-C29-40078-13241,Non-Tumor,0
Case-4-C31-10015-17952,Non-Viable-Tumor,2
Case-4-C31-11369-15049,Non-Viable-Tumor,2
Case-4-C31-12983-18446,Non-Viable-Tumor,2
Case-4-C31-13026-17709,Non-Viable-Tumor,2
Case-4-C31-16379-15830,Viable,1
Case-4-C31-17180-22686,Non-Viable-Tumor,2
Case-4-C31-17846-20505,Non-Tumor,0
Case-4-C31-19720-30902,Non-Viable-Tumor,2
Case-4-C31-19780-23823,Non-Viable-Tumor,2
Case-4-C31-20022-32809,Non-Viable-Tumor,2
Case-4-C31-22851-36922,Non-Viable-Tumor,2
Case-4-C31-23051-12507,Viable,1
Case-4-C31-24654-15629,Viable,1
Case-4-C31-24669-10300,Viable,1
Case-4-C31-25176-8074,Viable,1
Case-4-C31-25781-32079,Non-Viable-Tumor,2
Case-4-C31-27678-14221,Viable,1
Case-4-C31-28807-3942,Non-Viable-Tumor,2
Case-4-C31-30577-21392,Viable,1
Case-4-C31-31978-13119,Viable,1
Case-4-C31-32205-12759,Viable,1
Case-4-C31-32902-21086,Viable,1
Case-4-C31-33075-15855,Viable,1
Case-4-C31-35324-16735,Viable,1
Case-4-C31-35929-17743,Viable,1
Case-4-C31-36283-29598,Non-Viable-Tumor,2
Case-4-C31-37390-31078,Non-Viable-Tumor,2
Case-4-C31-41557-17880,Viable,1
Case-4-C31-42832-24046,Viable,1
Case-4-C34-17385-28312,Non-Viable-Tumor,2
Case-4-C34-17486-25030,Non-Viable-Tumor,2
Case-4-C34-20207-16060,Viable,1
Case-4-C34-21897-31957,Non-Viable-Tumor,2
Case-4-C34-22699-32728,Non-Viable-Tumor,2
Case-4-C34-23917-10671,Viable,1
Case-4-C34-23929-34222,Non-Viable-Tumor,2
Case-4-C34-24821-20023,Viable,1
Case-4-C34-25269-6322,Viable,1
Case-4-C34-25397-27112,Non-Viable-Tumor,2
Case-4-C34-26259-33892,Non-Viable-Tumor,2
Case-4-C34-27849-28579,Non-Viable-Tumor,2
Case-4-C34-28490-3882,Non-Viable-Tumor,2
Case-4-C34-28567-20375,Viable,1
Case-4-C34-29374-30806,Non-Viable-Tumor,2
Case-4-C34-30175-9259,Viable,1
Case-4-C34-31245-35957,Non-Viable-Tumor,2
Case-4-C34-31582-34370,Non-Viable-Tumor,2
Case-4-C34-33534-16910,Viable,1
Case-4-C34-34338-25165,Viable,1
Case-4-C34-34486-29517,Non-Viable-Tumor,2
Case-4-C34-37729-30592,Non-Viable-Tumor,2
Case-4-C34-38608-21388,Viable,1
Case-4-C34-40371-21884,Non-Viable-Tumor,2
Case-4-C34-41931-27880,Non-Viable-Tumor,2
Case-4-C34-42840-21049,Non-Tumor,0
Case-4-C34-43977-24577,Non-Tumor,0
Case-4-C34-44491-21355,Non-Tumor,0
Case-4-C34-9715-14945,Non-Viable-Tumor,2
Case-4-C48-10054-9391,Non-Tumor,0
Case-4-C48-11401-19048,Non-Tumor,0
Case-4-C48-11503-15470,Non-Tumor,0
Case-4-C48-11965-6215,Non-Tumor,0
Case-4-C48-12897-21186,Non-Tumor,0
Case-4-C48-13345-34577,Non-Tumor,0
Case-4-C48-13927-22247,Non-Tumor,0
Case-4-C48-15768-33767,Non-Tumor,0
Case-4-C48-16689-23057,Non-Tumor,0
Case-4-C48-16969-13515,Non-Tumor,0
Case-4-C48-18049-17102,Non-Tumor,0
Case-4-C48-18251-9611,Non-Tumor,0
Case-4-C48-20603-33127,Non-Tumor,0
Case-4-C48-22668-21127,Non-Tumor,0
Case-4-C48-24306-19063,Non-Tumor,0
Case-4-C48-25702-19790,Non-Tumor,0
Case-4-C48-25796-23436,Non-Tumor,0
Case-4-C48-30653-11701,Non-Tumor,0
Case-4-C48-31199-23583,Non-Tumor,0
Case-4-C48-33197-21550,Non-Tumor,0
Case-4-C48-5806-29232,Non-Tumor,0
Case-4-C48-6884-30966,Non-Tumor,0
Case-4-C48-7455-17146,Non-Tumor,0
Case-4-C48-8509-22908,Non-Tumor,0
Case-4-C48-8852-15092,Non-Tumor,0
Case-4-C48-9825-35299,Non-Tumor,0
Case-4-C48-9864-11549,Non-Tumor,0
Case-4-C52-11233-29470,Non-Tumor,0
Case-4-C52-13339-30012,Non-Tumor,0
Case-4-C52-14134-24972,Non-Tumor,0
Case-4-C52-15553-8379,Non-Tumor,0
Case-4-C52-15705-16485,Non-Tumor,0
Case-4-C52-18944-30575,Non-Tumor,0
Case-4-C52-19923-24025,Non-Tumor,0
Case-4-C52-20522-23796,Non-Tumor,0
Case-4-C52-20801-18450,Non-Tumor,0
Case-4-C52-21343-29072,Non-Tumor,0
Case-4-C52-21604-27567,Non-Tumor,0
Case-4-C52-25156-26369,Non-Tumor,0
Case-4-C52-25833-10809,Non-Tumor,0
Case-4-C52-26347-9834,Non-Tumor,0
Case-4-C52-26738-16962,Non-Tumor,0
Case-4-C52-29179-7955,Non-Tumor,0
Case-4-C52-29621-7946,Non-Tumor,0
Case-4-C52-29962-9726,Non-Tumor,0
Case-4-C52-3074-22909,Non-Tumor,0
Case-4-C52-31860-26250,Non-Tumor,0
Case-4-C52-32157-20231,Non-Tumor,0
Case-4-C52-35139-22514,Non-Tumor,0
Case-4-C52-5072-27768,Non-Tumor,0
Case-4-C52-6011-11096,Non-Tumor,0
